"","country_code","name","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020"
"67",204,"Benin",2255.222,2303.592,2431.617,2632.361,2912.338,3265.167,3717.161,4278.502,4978.489,5905.552,6865.946,7982.223,9199.254,10575.962,12123.198
"68",854,"Burkina Faso",4284.455,4517.155,4829.289,5174.874,5624.592,6154.554,6822.837,7727.908,8811.033,10089.88,11607.951,13421.935,15605.211,18110.616,20903.278
"69",132,"Cabo Verde",178.064,197.193,201.77,230.421,268.633,270.24,283.848,311.668,337.953,386.288,428.178,463.034,492.644,524.74,555.988
"70",384,"Cote d'Ivoire",2630.131,3004.421,3503.559,4226.843,5102.07,6412.409,8033.652,9918.204,11924.873,14199.759,16454.66,18354.513,20532.944,23226.148,26378.275
"71",270,"Gambia",304.895,329.662,365.049,405.258,464.404,539.985,637.252,755.791,955.595,1128.577,1317.708,1543.745,1793.199,2085.86,2416.664
"72",288,"Ghana",5036.151,5730.592,6635.229,7739.463,8735.493,9985.946,11056.112,12783.617,14773.274,17014.058,19278.85,21814.648,24779.614,27849.203,31072.945
"73",324,"Guinea",3012.938,3229.643,3494.164,3801.711,4154.606,4491.248,4871.446,5470.716,6352.282,7269.631,8240.735,9109.585,10192.168,11432.096,13132.792
"74",624,"Guinea-Bissau",535.438,576.131,616.14,649.795,704.937,765.985,781.678,872.163,975.265,1088.85,1201.305,1344.931,1522.603,1737.207,1967.998
"75",430,"Liberia",930.022,1011.367,1118.655,1245.104,1400.73,1600.454,1852.991,2145.756,2075.917,2044.657,2848.447,3218.114,3891.357,4472.229,5057.677
"76",466,"Mali",4708.425,4975.4,5263.727,5568.495,5949.042,6482.282,7090.124,7831.888,8449.915,9585.66,10946.448,12775.509,15049.352,17438.772,20250.834
"77",478,"Mauritania",651.434,738.295,850.377,985.907,1146.776,1330.594,1540.644,1780.033,2034.347,2313.63,2630.217,3024.198,3494.2,4046.304,4649.66
"78",562,"Niger",2559.706,2955.536,3388.774,3914.118,4510.645,5184.94,5989,6915.994,8026.592,9490.289,11331.561,13624.474,16464.025,20001.663,24206.636
"79",566,"Nigeria",37859.75,41086.1,45138.46,50127.92,55982.142,63374.289,73423.646,83562.776,95212.454,107948.339,122283.853,138865.014,158503.203,181137.454,206139.587
"80",686,"Senegal",2486.642,2808.239,3206.757,3682.879,4257.508,4929.846,5583.157,6471.329,7526.306,8690.155,9797.731,11090.123,12678.143,14578.45,16743.93
"81",694,"Sierra Leone",2041.201,2165.816,2317.638,2508.226,2744.89,3037.158,3388.494,3805.304,4319.763,4303.953,4584.57,5645.629,6415.636,7171.909,7976.985
"82",768,"Togo",1395.451,1473.835,1580.508,1708.631,2115.522,2410.451,2720.835,3252.997,3774.31,4226.293,4924.406,5611.643,6421.674,7323.162,8278.737
"83",912,"Northern Africa",48787.607,55259.405,63223.193,72316.376,82539.482,93474.139,106772.556,122785.316,139744.833,156510.64,171322.846,186421.282,202940.273,223861.602,246232.508
"84",12,"Algeria",8872.25,9774.28,11057.864,12550.88,14464.992,16607.706,19221.659,22431.507,25758.872,28757.788,31042.238,33149.72,35977.451,39728.02,43851.043
"85",818,"Egypt",20451.988,23223.125,26632.891,30433.024,34513.851,38549.133,43309.063,49258.726,56134.478,62334.025,68831.561,75523.576,82761.244,92442.549,102334.403
"86",434,"Libya",1124.519,1245.355,1448.416,1733.307,2133.527,2645.136,3219.462,3873.781,4436.663,4948.796,5357.893,5798.615,6197.667,6418.315,6871.287
"87",504,"Morocco",8985.986,10502.658,12328.532,14230.163,16004.732,17796.171,19990.006,22499.111,24807.461,26994.255,28793.672,30455.563,32343.384,34663.608,36910.558
"88",729,"Sudan",5733.789,6549.294,7544.498,8770.094,10281.695,12144.128,14507.466,17210.182,20147.592,24094.741,27275.019,30949.514,34545.014,38902.948,43849.269
"89",788,"Tunisia",3605.312,3943.544,4178.235,4547.941,5063.805,5656.912,6374.04,7329.59,8242.509,9125.4,9708.347,10106.778,10635.245,11179.951,11818.618
"90",732,"Western Sahara",13.763,21.149,32.757,50.967,76.88,74.953,150.86,182.419,217.258,255.635,314.116,437.516,480.268,526.211,597.33
"91",922,"Western Asia",51451.533,58165.932,66078.486,75505.357,86190.693,98877.31,113451.836,130683.878,148315.61,166667.477,184558.822,205564.261,232426.517,257658.413,279636.774
"92",51,"Armenia",1353.502,1563.512,1874.119,2211.316,2525.067,2832.752,3099.759,3335.935,3538.164,3217.349,3069.597,2981.262,2877.314,2925.559,2963.234
"93",31,"Azerbaijan",2927.926,3329.373,3895.398,4592.601,5180.032,5674.129,6150.735,6666.447,7242.758,7775.418,8122.743,8538.61,9032.465,9622.741,10139.175
"94",48,"Bahrain",115.612,133.58,162.429,187.432,212.607,266.54,359.897,419.428,495.927,563.698,664.61,889.157,1240.864,1371.853,1701.583
"95",196,"Cyprus",494.018,529.97,572.933,580.972,613.618,649.753,685.408,703.694,766.616,855.391,943.288,1027.657,1112.617,1160.987,1207.361
"96",268,"Georgia",3527.008,3713.129,4007.724,4371.527,4713.34,4873.638,5017.827,5211.454,5410.4,4976.252,4362.184,4210.158,4099.096,4024.18,3989.175
"97",368,"Iraq",5719.183,6502.661,7289.753,8375.795,9917.978,11684.579,13653.348,15555.807,17419.113,20149.342,23497.589,26922.279,29741.977,35572.269,40222.503
"98",376,"Israel",1257.968,1691.873,2060.476,2490.322,2813.746,3296.931,3700.916,4035.062,4448.348,5271.368,5945.949,6529.47,7346.446,7978.496,8655.541
"99",400,"Jordan",481.319,682.975,933.102,1173.603,1721.315,2065.916,2377.997,2900.055,3565.888,4588.842,5122.495,5765.639,7261.541,9266.573,10203.14
"100",414,"Kuwait",153.103,181.893,269.026,472.032,744.444,1021.725,1368.68,1735.278,2095.35,1605.907,2045.123,2270.196,2991.884,3835.588,4270.563
"101",422,"Lebanon",1334.617,1532.12,1804.935,2092.374,2297.436,2575.746,2588.928,2651.992,2803.032,3528.379,3842.774,4698.761,4953.064,6532.681,6825.442
"102",512,"Oman",456.41,495.825,551.735,625.006,723.842,882.038,1154.373,1498.413,1812.158,2204.267,2267.973,2511.254,3041.435,4267.341,5106.622
"103",634,"Qatar",25.006,35.863,47.383,73.631,109.521,164.314,223.622,370.886,476.275,513.447,592.467,865.41,1856.329,2565.708,2881.06
"104",682,"Saudi Arabia",3121.34,3558.165,4086.534,4843.632,5836.388,7419.486,9691.471,13118.998,16233.786,18638.79,20663.84,23816.175,27421.468,31717.676,34813.867
"105",275,"State of Palestine",931.925,987.751,1069.318,1191.381,1126.628,1323.805,1510.717,1759.533,2101.445,2618.671,3224.009,3577.956,4055.632,4529.16,5101.416
"106",760,"Syrian Arab Republic",3413.325,3911.497,4573.514,5373.137,6350.544,7535.715,8930.776,10648.633,12446.168,14345.491,16410.847,18361.178,21362.541,17997.411,17500.657
"107",792,"Turkey",21408.398,24270.599,27472.339,30972.996,34876.296,39277.249,43975.972,49133.928,53921.758,58486.453,63240.196,67903.461,72326.992,78529.413,84339.067
"108",784,"United Arab Emirates",69.594,79.579,92.417,149.855,234.512,548.295,1019.507,1366.165,1828.437,2415.099,3134.067,4588.222,8549.998,9262.896,9890.4
"109",887,"Yemen",4661.279,4965.567,5315.351,5727.745,6193.379,6784.699,7941.903,9572.17,11709.987,14913.313,17409.071,20107.416,23154.854,26497.881,29825.968
"110",5500,"Central Asia",17449.568,20272.976,24321.261,28908.815,33211.581,37115.085,41088.161,45501.798,50122.902,53169.133,55345.848,58449.898,62805.087,68479.994,74338.926
"111",398,"Kazakhstan",6703,7932.517,9934.564,11841.926,13036.14,14050.227,14796.175,15665.594,16383.881,15839.357,14922.724,15402.803,16252.273,17572.01,18776.707
"112",417,"Kyrgyzstan",1740.005,1904.069,2170.091,2569.448,2969.857,3291.074,3610.974,3993.077,4372.885,4566.096,4920.712,5075.34,5422.298,5959.126,6524.191
"113",762,"Tajikistan",1531.507,1794.416,2087.053,2487.975,2930.108,3390.941,3905.443,4537.82,5283.811,5764.806,6216.329,6789.318,7527.397,8454.019,9537.642
